id,exp_session,test_type,result,added_at
97,2015-06-19 20:28:24+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=False | group=0 | participant_id=,pretest,{},2015-06-19 20:28:35+00:00
98,2015-06-19 20:28:24+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=False | group=0 | participant_id=,pretest,{},2015-06-19 20:28:39+00:00
99,2015-06-19 20:28:24+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=False | group=0 | participant_id=,pretest,{},2015-06-19 20:28:47+00:00
100,2015-06-19 20:15:24+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M09,posttest,"{""posttest_1"":""4"",""posttest_2"":""4"",""posttest_3"":""4"",""posttest_4"":""4"",""posttest_5"":""7"",""posttest_6"":""5"",""posttest_7"":""12.3"",""posttest_8"":""5"",""posttest_9"":""years squared"",""posttest_10"":""5"",""posttest_11"":""year"",""posttest_12"":""5"",""posttest_13"":""The standard amount a member of the population deviates from others in the population."",""posttest_14"":""4"",""posttest_15"":""Standard deviation is derived from the square root of the variance."",""posttest_16"":""5"",""posttest_17"":""Find the variance by add the difference in the value to the mean squared, divided by the population.  Then take the square root of the variance to find the standard deviation."",""posttest_18"":""5"",""posttest_19"":""6"",""posttest_20"":""2"",""posttest_21"":""3"",""posttest_22"":""2"",""posttest_23"":""5"",""posttest_24"":""4""}",2015-06-19 20:33:31+00:00
101,2015-06-19 20:35:54+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,pretest,"{""pretest_1"":""3"",""pretest_2"":""4"",""pretest_3"":""3"",""pretest_4"":""4"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""?"",""pretest_8"":""1"",""pretest_9"":""years"",""pretest_10"":""3"",""pretest_11"":""years"",""pretest_12"":""2"",""pretest_13"":""not sure"",""pretest_14"":""1"",""pretest_15"":""not sure"",""pretest_16"":""1""}",2015-06-19 20:37:26+00:00
102,2015-06-19 20:35:54+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M10,posttest,"{""posttest_1"":""4"",""posttest_2"":""4"",""posttest_3"":""4"",""posttest_4"":""4"",""posttest_5"":""7"",""posttest_6"":""5"",""posttest_7"":""3.8"",""posttest_8"":""4"",""posttest_9"":""years squared"",""posttest_10"":""3"",""posttest_11"":""years"",""posttest_12"":""4"",""posttest_13"":""how much the average member differs from the mean"",""posttest_14"":""3"",""posttest_15"":""standard deviation is the square root of variance"",""posttest_16"":""3"",""posttest_17"":""Calculate the mean by adding all the value up and dividing by the number of values. Find the difference between each value and the mean, square each difference, add these numbers together, and divide this number by the number of values in the population. Find the square root of this number."",""posttest_18"":""3"",""posttest_19"":""3"",""posttest_20"":""2"",""posttest_21"":""3"",""posttest_22"":""3"",""posttest_23"":""4"",""posttest_24"":""3""}",2015-06-19 20:51:33+00:00
103,2015-06-19 21:04:49+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M05,pretest,"{""pretest_1"":""3"",""pretest_2"":""3"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""3.50"",""pretest_8"":""4"",""pretest_9"":""years"",""pretest_10"":""5"",""pretest_11"":""years"",""pretest_12"":""5"",""pretest_13"":""measures the variability of data in a population"",""pretest_14"":""4"",""pretest_15"":""variance = square of standard deviation"",""pretest_16"":""4""}",2015-06-19 21:14:14+00:00
104,2015-06-19 21:04:49+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M05,posttest,"{""posttest_1"":""5"",""posttest_2"":""5"",""posttest_3"":""5"",""posttest_4"":""5"",""posttest_5"":""7"",""posttest_6"":""5"",""posttest_7"":""3.511"",""posttest_8"":""5"",""posttest_9"":""years2"",""posttest_10"":""3"",""posttest_11"":""years"",""posttest_12"":""5"",""posttest_13"":""measures the variability of data in a population"",""posttest_14"":""5"",""posttest_15"":""variance = square of standard deviation"",""posttest_16"":""4"",""posttest_17"":""Calculate the mean of data set.\nCalculate the variance using the mean.\nCalculate the population standard deviation taking square root of variance."",""posttest_18"":""4"",""posttest_19"":""3"",""posttest_20"":""2"",""posttest_21"":""2"",""posttest_22"":""2"",""posttest_23"":""2"",""posttest_24"":""1""}",2015-06-19 21:28:06+00:00
105,2015-06-19 21:13:45+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M01,pretest,"{""pretest_1"":""2"",""pretest_2"":""2"",""pretest_3"":""2"",""pretest_4"":""2"",""pretest_5"":""5"",""pretest_6"":""4"",""pretest_7"":""3"",""pretest_8"":""3"",""pretest_9"":""dont know"",""pretest_10"":""4"",""pretest_11"":""3"",""pretest_12"":""4"",""pretest_13"":""the difference between the numbers"",""pretest_14"":""4"",""pretest_15"":""How much diferance possible between the items"",""pretest_16"":""4""}",2015-06-19 21:34:22+00:00
106,2015-06-19 21:46:50+00:00 | video=variance4 | interval=60 | random=False | step=True | admin=False | study=True | group=1 | participant_id=M01,pretest,"{""pretest_1"":""1"",""pretest_2"":""3"",""pretest_3"":""3"",""pretest_4"":""3"",""pretest_5"":""7"",""pretest_6"":""5"",""pretest_7"":""don't know"",""pretest_8"":""1"",""pretest_9"":""don't know"",""pretest_10"":""1"",""pretest_11"":""don't know"",""pretest_12"":""1"",""pretest_13"":""don't know"",""pretest_14"":""1"",""pretest_15"":""don't know"",""pretest_16"":""1""}",2015-06-19 21:48:40+00:00
